"繁對簡",,,
"捞","635E","撈","6488"
"劳","52B3","勞","52DE"
"涝","6D9D","澇","6F87"
"乐","4E50","樂","6A02"
"镭","956D","鐳","9433"
"垒","5792","壘","58D8"
"类","7C7B","類","985E"
"泪","6CEA","淚","6DDA"
"篱","7BF1","籬","7C6C"
"离","79BB","離","96E2"
"里","91CC","裏","88CF"
"鲤","9CA4","鯉","9BC9"
"礼","793C","禮","79AE"
"丽","4E3D","麗","9E97"
"厉","5389","厲","53B2"
"励","52B1","勵","52F5"
"砾","783E","礫","792B"
"历","5386","曆","66C6"
"沥","6CA5","瀝","701D"
"隶","96B6","隸","96B8"
"俩","4FE9","倆","5006"
"联","8054","聯","806F"
"莲","83B2","蓮","84EE"
"连","8FDE","連","9023"
"镰","9570","鐮","942E"
"怜","601C","憐","6190"
"涟","6D9F","漣","6F23"
"帘","5E18","簾","7C3E"
"敛","655B","斂","6582"
"脸","8138","臉","81C9"
"链","94FE","鏈","93C8"
"恋","604B","戀","6200"
"炼","70BC","煉","7149"
"练","7EC3","練","7DF4"
"粮","7CAE","糧","7CE7"
"凉","51C9","涼","6DBC"
"两","4E24","兩","5169"
"辆","8F86","輛","8F1B"
"谅","8C05","諒","8AD2"
"疗","7597","療","7642"
"辽","8FBD","遼","907C"
"镣","9563","鐐","9410"
"猎","730E","獵","7375"
"临","4E34","臨","81E8"
"邻","90BB","鄰","9130"
"鳞","9CDE","鱗","9C57"
"凛","51DB","凜","51DC"
"赁","8D41","賃","8CC3"
"龄","9F84","齡","9F61"
"铃","94C3","鈴","9234"
"凌","51CC","淩","6DE9"
"灵","7075","靈","9748"
"岭","5CAD","嶺","5DBA"
"领","9886","領","9818"
"馏","998F","餾","993E"
"刘","5218","劉","5289"
"龙","9F99","龍","9F8D"
"聋","804B","聾","807E"
"咙","5499","嚨","56A8"
"笼","7B3C","籠","7C60"
"垄","5784","壟","58DF"
"拢","62E2","攏","650F"
"陇","9647","隴","96B4"
"楼","697C","樓","6A13"
"娄","5A04","婁","5A41"
"搂","6402","摟","645F"
"篓","7BD3","簍","7C0D"
"芦","82A6","蘆","8606"
"卢","5362","盧","76E7"
"颅","9885","顱","9871"
"庐","5E90","廬","5EEC"
"炉","7089","爐","7210"
"掳","63B3","擄","64C4"
"卤","5364","鹵","9E75"
"虏","864F","虜","865C"
"鲁","9C81","魯","9B6F"
"赂","8D42","賂","8CC2"
"禄","7984","祿","797F"
"录","5F55","錄","9304"
